400,cmsketch,1000,6.761,0.0411377,983/1000,1.95774,
400,hyperuss,1000,0.052,0.00021433,1999/1000,2.45255,
400,hyperuss,1000,0.052,0.00021433,1999/1000,2.45255,
400,heavykeeper,1000,0.231,0.00109537,1000/1000,3.23376,
400,LossyCounting,1000,5.345,0.0305301,969/1000,2.4783,
400,mvsketch,1000,5.626,0.0221831,992/1000,2.79745,
400,spacesaving,1000,8.042,0.0513437,950/1000,7.6063,
400,cmsketch,1000,6.761,0.0411377,983/1000,2.25252,
400,hyperuss,1000,0.021,9.57532e-05,999/1000,3.34441,
400,wavingsketch,1000,773.054,314.935,273/1000,6.88477,
400,heavykeeper,1000,0.245,0.00119762,1000/1000,5.42181,
400,LossyCounting,1000,5.345,0.0305301,969/1000,3.55638,
400,mvsketch,1000,5.626,0.0221831,992/1000,1.96715,
400,spacesaving,1000,8.042,0.0513437,950/1000,5.42139,
